symbol,binance,bingx,bitget,bybit,lbank,mexc,okx,kcex
API3,4,4,4,4,,4,4,
APP,,,2,,,7,,
APPON,,,,,,2,,
APT,5,4,4,3,3,3,3,
APTM,,,,,5,5,,
APU,,,,,,7,,
APX,,,,,6,,,
AR,3,3,3,3,3,3,3,
ARARA,,,,,7,,,
ARB,6,4,4,4,4,4,4,
ARC,7,,5,5,5,6,,
ARCH,,,,,,6,,
AREA,,,,,,5,,
ARG,,,,,,4,2,
ARI,,,,,,6,,
ARIA,7,5,5,5,,5,,
ARK,7,4,4,4,,4,,
ARKM,7,4,4,4,4,4,4,
ARMON,,,,,,2,,
ARMY,,,,,,5,,
ARPA,5,5,5,6,5,5,,
ARRR,,,,,,4,,
ART,,,,,,7,,
ARTFI,,,,,,6,,
ARTY,,,,,,4,,
ARW,,,,,,5,,
ARX,,,,,,5,,
ASI,,,,,,6,,
ASM,,,,,,5,,
ASMLON,,,,,,2,,
ASP,,,,5,5,5,5,
ASR,6,3,3,3,3,,,
ASRR,,,,,,5,,
ASS,,,,,,13,,
AST,,,,,,6,,
ASTER,7,4,4,4,5,4,4,
ASTR,7,6,5,6,5,6,5,
ASTRA,,,,,,7,,
ASTROS,,,,,,6,,
ATA,4,,5,,,,,
ATH,7,5,5,6,6,6,6,
ATLA,,,,,,4,,
ATLAS,,,,,,6,,
ATOM,3,3,4,3,3,3,3,
ATR,,,,,,6,,
ATS,,,,,,5,,
ATT,,,,,,4,,
AUCTION,6,3,3,3,3,3,3,
AUDIO,4,,,,5,,,
AUKI,,,,,,6,,
AUR,,,,,,4,,
AURA,,,,,,6,,
AURORA,,,,,,5,,
AV,,,,,,8,,
AVA,7,4,4,4,4,4,,
AVAAI,7,5,,6,6,6,,
AVAIL,,,,,,6,,
AVAX,4,3,3,3,2,2,3,
AVGOON,,,,,,2,,
AVL,,,,5,5,5,,
AVNT,7,5,5,4,4,4,4,
AVO,,,,,6,,,
AVT,,,,,,4,,
AWE,7,6,6,5,,5,,
AXL,7,4,4,5,,,,
AXM,,,,,,5,,
AXR,,,,,7,,,
AXS,5,3,3,4,4,4,4,
AZERO,,,,,,5,,
AZIT,,,,,,5,,
AZUR,,,,,,6,,
B,7,5,4,5,5,5,,
B2,7,4,4,4,5,5,,
B3,7,6,6,7,7,6,,
B3TR,,,,,5,5,,
BABAON,,,,,2,2,,
BABY,7,5,5,5,5,5,5,
BABYBONK,,,,,,9,,
BABYDOGE,,,,,,13,12,
BAD,,,,,,11,,
BADGER,6,,,,4,4,,
BAKE,4,,,,6,6,,
BAL,3,,,,4,4,,
BAN,7,,5,5,5,5,,
BANANA,7,3,3,3,3,3,3,
BANANAS31,7,6,6,6,6,7,,
BAND,4,,4,4,,,4,
BANK,7,6,5,5,5,5,,
BAR,,,,,,4,,
BARD,7,4,4,4,4,4,4,
BAS,7,6,6,,,6,,
BASEDAI,,,,,,4,,
BAT,4,4,4,4,,4,4,
BAX,,,,,,9,,
BB,7,5,5,5,5,5,,
BBT,,,,,,4,,
BC,,,,,7,,,
BCB,,,,,,,3,
BCCOIN,,,,,,5,,
BCH,2,2,2,1,1,1,1,
BCUT,,,,,,6,,
BDCA,,,,,,4,,
BDP,,,,,,5,,
BDTC,,,,,3,,,
BDX,,4,,,,5,,
BDXN,7,,,,,5,,
BEAM,,6,6,6,,5,,
BEAT,7,4,5,4,5,5,,
BEL,5,,4,5,,4,,
BELLS,,,,,,3,,
BERA,6,4,4,4,4,4,4,
BERT,,,,,,6,,
BEST,,5,,,,6,,
BETH,,,,,,,1,
BFLOKI,,,,,,10,,
BFT,,,,,,6,,
BGB,,,3,,4,5,,
BGEO,,,,,,4,,
BGSC,,,6,,6,6,,
BHC,,,,,,,4,
BIBI,,5,,,6,,,
BICITY,,,,,,7,,
BICO,7,,5,5,5,5,5,
BID,7,5,,,5,5,,
BIGTIME,7,5,5,5,5,5,5,
BIO,7,5,5,5,,5,5,
BIOFI,,,,,,7,,
BIST,,,,,,6,,
BIT,,,,,6,6,,
BITCOIN,,,,,5,,,
BKN,,,,,,5,,
BLACK,,,,,5,,,
BLAST,,6,6,7,7,7,,
BLENDR,,,,,,6,,
BLOCK,,,,,5,6,,
BLOK,,,,,,8,,
BLUB,,,,,11,12,,
BLUE,,,,,4,5,,
BLUM,,,,,,5,,
BLUR,7,5,5,5,5,5,5,
BLZ,5,,,,,5,,
BMT,7,5,5,5,5,5,,
BNB,3,2,2,1,2,2,1,
BNBTIGER,,,,,,14,,
BNC,,,,,5,5,,
BNKR,,,,,7,,,
BNT,7,,4,4,4,4,4,
BNX,6,,,,,,,
BOB,7,,6,,,5,,
BOBA,,5,,5,,5,,
BOBER,,,,,,7,,
BOBO,,,,,10,12,,
BOMB,,,,,,8,,
BOME,7,7,7,7,7,7,7,
BOND,6,,,,,5,,
BONE,,,,,5,5,,
BONK,,,,,9,9,9,
BOOE,,,,,,5,,
BOOM,,,,,,6,,
BOOP,,,,,6,,,
BOOST,,,,,,6,,
BOSON,,,,,,5,,
BOT,,,,,6,,1,
BOTIFY,,,,,,7,,
BOTTO,,,,,,5,,
BR,7,5,4,5,5,,,
BRETT,7,5,5,5,5,,,
BRIC,,,,,6,6,,
BRISE,,,,,,11,,
BRL1,,,,,,,2,
BRN,,,,,,5,,
BROAK,,,,,7,,,
BROCCOLI,,5,5,6,5,5,,
BRP,,,,,7,,,
BST,,,,,,5,,
BSU,,5,5,5,5,5,,
BSV,5,2,2,2,,2,,
BSW,7,,,,6,6,,
BTC,2,1,1,1,2,2,1,
BTC2,,,,,,5,,
BTCBAM,,,,,,5,,
BTCMT,,,,,,4,,
BTCP,,,,,,,2,
BTCS,,,,,3,,,
BTG,,,,,,3,,
BTR,7,,,5,,5,,
BTS,5,,,,,7,,
BTT,6,,,,,10,,
BTX,,5,,,,,,
BTY,,,,,5,5,,
BUCK,,,,,7,,,
BULLA,7,,,,5,5,,
BULLISH,,,,,5,5,,
BURN,,,,,9,,,
BUTTCOIN,,,,,7,,,
BUZZ,,,,,6,,,
BXBT,,,,,,5,,
BXN,,,,,7,6,,
BXX,,,,,,6,,
BZR,,,,,,3,,
BZZ,,,,,,4,,
C,7,5,5,5,4,5,,
C98,4,,5,5,5,5,,
CA,,,,,,5,,
CAKE,7,4,4,3,3,3,,
CAMP,,5,5,6,6,6,,
CANDLE,,,,,7,,,
CAP,,,,,4,5,,
CAPTAINBNB,,,,,6,6,,
CARDS,,,,,5,5,,
CARR,,,,,,7,,
CARV,7,4,4,4,,4,,
CAT,,,,,,9,9,
CATI,7,5,5,5,,5,5,
CAU,,,,,,4,,
CAW,,,,,12,12,,
CBK,,,,,4,4,,
CC,7,5,,5,,5,,
CCASH,,,,,6,,,
CCD,,,,,,6,,
CCV2,,,,,5,,,
CDL,,,,,5,,,
CDN,,,,,,,4,
CEEK,,,,,,6,,
CEL,,,,,,5,,
CELL,,,,,,4,,
CELO,3,4,4,5,4,4,4,
CELR,5,,6,,6,6,6,
CERE,,,,,,7,,
CES,,,,,,3,,
CESS,,,,,,6,,
CETUS,7,5,5,5,5,5,5,
CFG,,,,,,3,3,
CFT,,,,,,,5,
CFX,7,5,5,5,5,5,5,
CGO,,,,,4,,,
CGPT,7,5,5,5,5,6,,
CGT,,,,,3,,,
CHANGE,,,,,,8,,
CHAT,,,,,4,4,,
CHEEL,,,,,4,,,
CHEEMS,,,,,,10,,
CHEQ,,,,,6,5,,
CHESS,7,,,,5,5,,
CHEX,,,,,,5,,
CHILLGUY,7,5,4,6,5,5,,
CHILLHOUSE,,,,,6,6,,
CHIRP,,,,,,5,,
CHMPZ,,,,,,8,,
CHO,,,,,,5,,
CHONKY,,,,,,7,,
CHR,4,4,5,5,,5,,
CHRP,,,,,,7,,
CHZ,5,5,5,5,5,5,5,
CIRX,,,,,8,,,
CITY,,,,,,4,4,
CKB,7,6,6,6,6,6,,
CLANKER,5,2,2,2,2,2,,
CLASH,,,,,5,6,,
CLO,7,5,4,4,,5,,
CLORE,,,,,,6,,
CLOUD,,,,5,,5,,
CLS,,,,,,5,,
CLV,,,,,,6,,
CLY,,,,,,5,,
CNDY,,,,,,6,,
CNG,,,,,,6,,
COA,,,,,,6,,
COAI,7,5,4,4,4,4,,
COCA,,,,,,5,,
COCORO,,,,,6,,,
COG,,,,,,4,,
COIN,,,1,,,,,
COINON,,,,,,2,,
COINX,,,,,2,2,,
COLLAT,,,,,6,6,,
COLS,,,,,,5,,
COMBO,6,,,,,,,
COMP,2,2,2,2,2,2,2,
COOK,,,,6,,6,,
COOKIE,7,4,5,5,5,5,,
COOL,,,,,,,6,
COQ,,,,,,10,,
CORAL,,,,,,6,,
CORE,,4,5,5,4,4,4,
COREUM,,,,,,5,,
CORN,,,,,,5,,
COS,7,,,,,,,
COSTON,,,,,,2,,
COT,,,,,,6,,
COTI,5,5,5,5,,5,,
COW,7,4,4,4,4,4,,
CPC,,,,,5,,,
CPH,,,,,,6,,
CPOOL,,,,,,5,,
CRCL,,,2,,,,,
CRCLON,,,,,,2,,
CRCLX,,2,,,2,2,,
CREO,,,,,,7,,
CREPE,,,,,,7,,
CRETA,,,,,6,6,,
CRMON,,,,,,2,,
CRO,,5,5,5,5,5,5,
CROS,,,,,,7,,
CROSS,7,5,5,5,4,5,,
CRP,,,,,4,,,
CRTAI,,,,,,7,,
CRU,,,,,,4,,
CRV,3,4,4,4,4,4,4,
CRYN,,,,,1,,,
CSCOON,,,,,,2,,
CSIX,,,,,,6,,
CSPR,,,,,,6,6,
CSWAP,,,,,,5,,
CTA,,,,,,5,,
CTC,,,4,4,4,4,4,
CTF,,,,,,4,,
CTK,7,4,4,4,4,4,,
CTP,,,,,6,6,,
CTSI,4,,5,5,,,,
CTXC,,,,,,6,,
CTY,,,,,4,,,
CUDIS,7,,,5,,5,,
CULT,,,,,7,7,,
CVC,7,,5,5,5,,5,
CVX,6,,2,3,3,3,3,
CWEB,,,,,,6,,
CXT,,,,,,6,6,
CYBER,6,4,4,4,4,4,,
CYBRO,,,,,,6,,
D,7,,,,,5,,
DADDY,,,,,,5,,
DAG,,,,,6,5,,
DAGS,,,,,7,,,
DAI,,,,,4,4,4,
DAM,7,5,,5,,5,,
DAO,,,,,,5,5,
DARK,,,,,6,,,
DASH,2,2,2,2,,2,2,
DBR,,,,5,5,5,,
DC,,,,,,9,,
DCB,,,,,,6,,
DCD,,,,,7,,,
DCK,,,,,,6,,
DCR,,,,,,3,,
DCT,,,,,,6,,
DEAI,,,,,,5,,
DEEP,7,5,5,5,5,6,,
DEFAI,,,,,,6,,
DEFI,1,,,,,6,,
DEGEN,7,6,6,7,7,6,5,
DEGENAI,,,,,7,,,
DEGO,7,4,,,4,4,,
DENT,6,,7,7,,,,
DEOD,,,,,,6,,
DEP,,,,,,7,,
DEVVE,,,,,,4,,
DEXE,6,,2,3,3,3,,
DEXTF,,,,,,5,,
DF,7,,5,,5,5,,
DFYN,,,,,,6,,
DGB,5,,,6,6,,6,
DIA,7,4,4,4,,,,
DIAM,,,,,,6,,
DIGI,,8,,,,7,,
DIN,,,,,,5,,
DINGO,,,,,,8,,
DINO,,,,,7,,,
DIONE,,,,,,6,,
DKA,,,,,,6,,
DLB,,,,,,7,,
DMAIL,,,,,,6,,
DMC,7,,,,6,6,,
DMCC,,,,,,5,,
DMT,,,,,,3,,
DMTR,,,,,,5,,
DNX,,,,,,5,,
DOBO,,,,,,5,,
DODO,3,,,5,5,5,,
DOG,,,,7,,7,,
DOGE,6,5,5,5,5,5,5,
DOGECOIN,,,,,12,,,
DOGINME,,,,,,7,,
DOGS,7,,7,,8,8,8,
DOLO,7,6,5,5,5,5,,
DONKEY,,,,,6,,,
DONUT,,,,,5,,,
DOOD,7,7,6,6,6,6,6,
DORA,,,,,5,,6,
DORKY,,,,,,5,,
DOT,3,3,3,4,3,3,3,
DOVU,,,,,,6,,
DRB,,,,,8,,,
DREAMS,,,,,6,7,,
DRIFT,7,4,4,4,4,4,,
DST,,,,,,5,,
DSYNC,,,,,5,5,,
DTEC,,,,,,5,,
DUCK,,,,,6,6,6,
DUEL,,,,,,6,,
DUKO,,,,,,7,,
DUPE,,,,,6,6,,
DUSK,5,5,,5,,5,,
DUST,,,,,7,7,,
DYDX,3,4,4,4,4,4,4,
DYM,6,5,5,5,5,5,,
DYNA,,,,,,6,,
DYP,,,,,,6,,
EAI,,,,,,6,,
EARNM,,,,,,6,,
EBSO,,,,,6,,,
ECHO,,,,,5,5,,
ECOR,,,,,,5,,
EDEN,7,,5,5,,5,,
EDGE,,,,,,5,,
EDGEN,,,,,,6,,
EDU,7,4,,4,,5,,
EDUM,,,,,4,,,
EDX,,,,,,6,,
EFC,,,,,,5,,
EFFECT,,,,,,6,,
EFLOKI,,,,,,10,,
EGL1,,,,,5,,,
EGLD,3,3,3,3,3,3,3,
EGO,,,,,,7,,
EIGEN,7,4,4,4,4,4,4,
EL,,,,,,6,,
ELA,,,,,,3,,
ELCASH,,,,,5,,,
ELDE,,,,,6,6,,
ELF,,,,,,5,5,
ELIX,,,,,,6,,
ELIZA,,,,,7,,,
ELK,,,,,,5,,
ELON,,,,,11,11,11,
ELP,,,,,,6,,
ELX,,,,,6,6,,
EMR,,,,,,6,,
EMYC,,,,,,5,,
ENA,7,4,4,4,4,4,4,
ENF,,,,,,5,,
ENJ,5,5,5,5,,5,5,
ENS,3,3,3,3,3,2,3,
EOS,3,,,,,,,
EOSC,,,,,8,,,
EPIC,6,4,4,4,4,4,,
EPT,7,,,6,6,6,,
ERA,7,4,4,4,4,4,,
ERG,,,,,,4,,
ES,,,,5,5,5,,
ESE,,,,,,6,,
ESPORTS,7,5,5,5,4,5,,
ESX,,,,,,6,,
ETC,3,3,3,3,2,2,2,
ETH,2,2,2,2,2,2,2,
ETHFI,7,4,4,4,4,4,4,
ETHW,6,,4,,,4,4,
ETN,,,,,,6,,
EUL,6,,3,3,,3,,
EURI,,,,,,4,,
EURR,,,,,,3,,
EVDC,,,,,8,8,,
EVR,,,,,,3,,
EWT,,,,,,4,,
EXO,,,,,4,,,
EYWA,,,,,,6,,
F,7,6,6,6,6,6,,
F3,,,,,,5,,
FACT,,,,,,2,,
FAI,,,,,,6,,
FAKEAI,,,,,,6,,
FAKT,,,,,,7,,
FAN,,,,,4,,,
FAR,,,,,,6,,
FARM,,,,,,2,,
FARTBOY,,,,,,6,,
FARTCOIN,7,4,4,4,5,5,,
FB,,,,,,4,,
FCO,,,,,5,,,
FDC,,,,,6,,,
FDUSD,,,,,,4,,
FEG,,,,,8,8,,
FEI,,,,,4,,,
FET,7,4,4,,4,4,4,
FHE,7,,,,5,5,,
FIDA,7,5,5,5,5,5,,
FIGHT,,,,,7,,,
FIGON,,,,,,2,,
FIL,3,3,3,4,3,3,3,
FINC,,,,,,5,,
FIO,7,,,6,,6,,
FIRO,,,,,,4,,
FIS,7,,,,5,5,,
FITFI,,,,,,7,,
FLDT,,,,,,5,,
FLM,4,,,,6,6,,
FLOCK,7,5,4,5,8,5,,
FLOKI,,8,8,,8,8,8,
FLOW,3,4,4,4,4,5,4,
FLR,,,,6,5,5,5,
FLT,,,,,,5,,
FLUID,6,4,3,3,3,4,3,
FLUX,7,4,4,5,,5,,
FLY,,,,,,5,,
FLZ,,,,,5,5,,
FNCT,,,,,,7,,
FNXAI,,,,,5,,,
FOG,,,,,,5,,
FOREST,,,,,,5,,
FORM,6,4,4,4,4,4,,
FORT,,5,,,,5,,
FORTH,6,,4,,,3,,
FOX,,,,,,5,,
FOXSY,,,,,,6,,
FOXY,,,,,7,,,
FRAG,,,,,,6,,
FRC,,,,,,7,,
FRED,,,,,7,7,,
FROGE,,,,,12,,,
FROGGIE,,,,,6,,,
FRONT,7,,,,,,,
FRTS,,,,,9,,,
FTN,,,,,,5,,
FTRB,,,,,6,,,
FTT,4,,,,4,4,,
FUEL,,,,,,5,,
FUN,7,,6,,6,6,,
FUNCH,,,,,7,,,
FURY,,,,,,5,,
FUSD,,,,,,4,,
FUSE,,,,,,6,,
FUTUON,,,,,,2,,
FWC,,,,,15,,,
FWOG,,5,,6,6,6,,
G,7,,6,,,6,6,
GAI,,,,,,4,,
GAIA,,,,,4,5,,
GAINS,,,,,,5,,
GAL,5,,,,,,,
GALA,5,5,5,6,6,6,6,
GALAXIS,,,,,,7,,
GALEON,,,,,,5,,
GAME,,,,,5,4,,
GARI,,,,,,6,,
GAS,6,3,3,3,3,,3,
GATA,,,,,,6,,
GCB,,,,,,5,,
GEAR,,,,,,7,6,
GEL,,,,,,5,,
GEMS,,,,,,5,,
GEOD,,,,,,4,,
GEON,,,,,,2,,
GFAL,,,,,,6,,
GFI,,,,,,4,,
GGB,,,,,6,,,
GHIBLI,,,,,7,7,,
GHST,7,4,,,4,4,4,
GHUB,,,,,6,5,,
GHX,,,,,,5,,
GIGA,,6,6,6,6,5,,
GINI,,,,,,5,,
GIV,,,,,6,,,
GIZA,,,,,,5,,
GLM,7,5,4,5,,,4,
GLMR,7,,,,5,5,,
GLQ,,,,,,6,,
GLUTEU,,,,,,7,,
GMCOIN,,,,,6,,,
GME,,,2,,7,7,,
GMEE,,,,,,6,,
GMEON,,,,,,2,,
GMFI,,,,,6,,,
GMMT,,,,,,6,,
GMT,5,5,5,5,,,5,
GMTO,,,,,7,,,
GMX,6,3,3,3,3,3,3,
GNO,,,2,2,,2,,
GNS,,,,,,3,,
GNT,,,,,,,4,
GOAT,7,5,5,5,,5,5,
GOCHU,,,,,,10,,
GODS,,,,5,,5,5,
GOHOME,,,,,,2,,
GOMINING,,,,,4,4,,
GOOGLON,,,,,,2,,
GOOGLX,,,,,2,2,,
GOR,,5,,,6,6,,
GORILLA,,,,,6,,,
GORK,,,,,6,6,,
GP,,,,,4,,,
GPS,7,6,6,6,6,6,,
GPU,,,,,,5,,
GRAIL,,,,,,2,,
GRAM,,,,,,5,,
GRASS,7,4,4,4,4,4,,
GRIFFAIN,7,5,5,5,5,5,,
GRIFT,,,,,7,,,
GROK,,,,,,7,,
GRT,5,5,5,5,5,5,5,
GSON,,,,,,2,,
GST,,,,,,6,,
GSWIFT,,,,,,6,,
GSYS,,,,,5,5,,
GT,,,,,3,,,
GTAI,,,,,,5,,
GTC,3,,4,,4,4,,
GUA,7,5,,,5,5,,
GUI,,,,,,9,,
GUN,7,5,5,6,5,5,,
GVL,,,,,,7,,
GXA,,,,,6,,,
GXE,,,,,,6,,
GXT,,,,,,7,,
H,7,5,5,5,4,5,,
HAEDAL,7,6,5,5,5,5,,
HAI,,,,,,6,,
HAIO,,,,,,5,,
HALO,,,,,8,,,
HAM,,,,,,13,,
HANA,7,5,,6,,6,,
HANDY,,,,,,7,,
HAPPY,,,,,7,,,
HAROLD,,,,,,6,,
HASHAI,,,,,,8,,
HB,,,,,8,,,
HBAR,5,5,5,5,5,5,5,
HDN,,,,,,5,,
HEART,,,,,,6,,
HEGE,,,,,5,6,,
HEI,6,4,4,5,4,4,,
HELLO,,,,,,6,,
HEMI,7,6,,5,5,5,,
HEU,,,,,,5,,
HEWE,,,,,7,,,
HFT,7,5,5,5,5,5,,
HGEN,,,,,5,,,
HGG,,,,,,7,,
HGPT,,,,,,6,,
HIFI,7,,,,5,5,,
HIGH,6,4,,4,4,4,,
HILO,,,,,,5,,
HIMSON,,,,,,2,,
HINT,,,,,,6,,
HIPPO,7,7,6,7,6,6,,
HIT,,,,,6,,,
HIVE,7,5,4,5,,5,,
HMC,,,,,,,3,
HMND,,,,,,5,,
HMSTR,7,7,7,7,7,7,7,
HMT,,,,,,6,,
HNT,4,,3,3,,3,,
HOLO,7,5,5,5,,5,,
HOME,7,6,5,5,6,5,,
HONEY,,,,,5,5,,
HOOD,,,2,,,,,
HOODON,,,,,,2,,
HOODX,,,,,2,2,,
HOOK,6,5,,5,5,5,,
HOPPY,,,,,10,9,,
HOPR,,,,,,5,,
HOSICO,,,,,,6,,
HOSKY,,,,,,12,,
HOT,6,,6,,7,7,,
HOUSE,,,,,6,6,,
HP,,,,,,5,,
HSK,,,,,4,4,,
HTM,,,,,,5,,
HTR,,,,,,5,,
HTX,,,,,,9,,
HUMA,7,6,5,5,5,5,5,
HUND,,,,,,7,,
HVH,,,,,7,,,
HVLO,,,,,,7,,
HXD,,,,,,6,,
HYDRA,,,,,,5,,
HYP,,,,,5,,,
HYPE,5,3,3,3,2,2,3,
HYPER,7,,3,5,4,5,,
IAUON,,,,,,2,,
IBMON,,,,,,2,,
ICBX,,,,,7,7,,
ICECREAM,,,,,,6,,
ICG,,,,,6,,,
ICNT,7,4,4,4,,5,,
ICP,6,3,3,3,3,3,3,
ICX,4,,4,5,,,5,
ID,7,5,5,5,5,5,5,
IDEX,7,,,6,,5,,
IDOL,7,5,5,,,5,,
IFAI,,,,,7,,,
IGT,,,,,7,,,
IKA,,,,,6,6,,
ILV,5,3,3,3,3,3,3,
IMGN,,,,,,6,,
IMO,,,,,,4,,
IMPT,,,,,6,,,
IMT,,,,,,6,,
IMX,4,4,4,4,4,4,4,
IN,7,5,5,5,5,5,,
INCO,,,,,6,,,
INDEX,,,,,,4,,
INDY,,,,,,4,,
INI,,,,,,5,,
INIT,7,4,4,5,5,5,,
INJ,6,3,3,3,3,3,3,
INSP,,,,,,5,,
INTCON,,,,,,2,,
INTER,,,,,,4,,
INTL,,,,,4,,,
INV,,,,,,2,,
IO,7,4,4,4,4,4,,
IOST,6,6,6,6,6,6,6,
IOTA,4,4,4,5,5,5,4,
IOTX,5,,5,6,6,6,,
IP,6,5,4,4,3,3,3,
IQ,,,,,,6,,
IRC,,,,,,5,,
IRON,,,,,,4,,
ISIKC,,,,,4,,,
ISLAND,,,,,,6,,
ISP,,,,,,8,,
ITHACA,,,,,,6,,
IXS,,,,,,4,,
IZI,,,,,,6,,
J,,,,,5,,5,
JAE,,,,,6,,,
JAGER,,,,,,13,,
JAILSTOOL,,,,,6,,,
JAM,,,,,,7,,
JASMY,6,6,6,6,6,6,,
JDON,,,,,,2,,
JELLYJELLY,7,,,6,6,6,,
JETTON,,,,,,5,,
JIN,,,,,8,,,
JITOSOL,,,,,2,,2,
JOC,,,,,,4,,
JOE,7,,4,,5,5,5,
JOHN,,,,,,5,,
JOJO,,,,,,5,,
JOLT,,,,,,5,,
JPMON,,,,,,2,,
JST,7,,5,5,5,5,,
JTO,6,4,4,4,4,4,4,
JU,,,,,4,,,
JUP,7,4,4,4,4,4,4,
JUSTICE,,,,,,8,,
JUV,,,,,,4,,
JYAI,,,,,8,9,,
K,,,,,6,6,,
KABOSU,,,,,12,,,
KAIA,7,5,5,5,5,5,3,
KAITO,6,4,4,4,4,4,4,
KAKI,,,,,11,,,
KALIS,,,,,,6,,
KANG,,,,,,7,,
KANGO,,,,,,9,,
KAR,,,,,,6,,
KARRAT,,,,,,4,,
KAS,7,5,5,5,5,6,,
KASPY,,,,,,9,,
KASTA,,,,,,6,,
KATA,,,,,,6,,
KAVA,4,4,4,5,5,5,,
KCS,,,,,,4,,
KDA,7,,,,,,,
KDX,,,,,,5,,
KEEP,4,,,,,,,
KEKIUS,,,,,6,6,,
KERNEL,7,5,5,5,5,5,,
KET,,,,,6,,,
KEY,7,,,,,,,
KEYCAT,,,,,6,7,,
KFI,,,,,,4,,
KIBSHI,,,,,,9,,
KILO,,,,,5,6,,
KIMA,,,,,,5,,
KING,,,,,8,,,
KINGSHIB,,,,,6,,,
KINIC,,,,,,4,,
KISHU,,,,,,14,,
KITEAI,,,,,,10,,
KLAY,4,,,,,,,
KLEE,,,,,15,,,
KLEVA,,,,,,5,,
KLS,,,,,,7,,
KLV,,,,,,6,,
KM,,,,,7,,,
KMD,,,,,,5,,
KMNO,7,5,5,5,,5,5,
KNC,5,4,4,4,,4,4,
KNCH,,,,,4,,,
KNINE,,,,,,9,,
KOIN,,,,,,6,,
KOLZ,,,,,,8,,
KOM,,,,,,7,,
KOMA,7,5,,,5,5,,
KONG,,,,,,6,,
KORI,,,,,6,6,,
KP3R,,,,,,3,,
KPOP,,,,,7,,,
KRL,,,,,,4,,
KSM,3,3,3,3,3,3,2,
KTA,,,,,4,4,,
KULA,,,,,,5,,
KYO,,,,,5,,,
KZEN,,,,,,7,,
L1,,,,,,6,,
L1X,,,,,4,,,
L3,,,,6,,5,,
LA,6,4,4,4,4,5,,
LAB,7,5,5,5,,5,,
